month,total_rainfall,no_of_rainy_days,mean_sunshine_hrs,date,year,condition
Jan,107.1,10,5.6,1982-01-01,1982,not conducive
Feb,27.8,5,7.6,1982-02-01,1982,not conducive
Mar,160.8,11,5.1,1982-03-01,1982,not conducive
Apr,157.0,14,4.7,1982-04-01,1982,not conducive
May,102.2,10,5.8,1982-05-01,1982,not conducive
Jun,59.5,8,7.3,1982-06-01,1982,not conducive
Jul,76.3,8,7.6,1982-07-01,1982,not conducive
Aug,169.5,11,5.4,1982-08-01,1982,not conducive
Sep,54.1,9,5.2,1982-09-01,1982,not conducive
Oct,39.3,10,5.6,1982-10-01,1982,not conducive
Nov,134.0,13,5.8,1982-11-01,1982,not conducive
Dec,494.1,21,3.3,1982-12-01,1982,not conducive
Jan,246.0,18,4.3,1983-01-01,1983,not conducive
Feb,5.6,2,9.3,1983-02-01,1983,not conducive
Mar,18.6,2,8.9,1983-03-01,1983,not conducive
Apr,33.6,4,6.6,1983-04-01,1983,not conducive
May,160.8,11,5.9,1983-05-01,1983,not conducive
Jun,94.0,11,5.9,1983-06-01,1983,not conducive
Jul,190.0,18,5.4,1983-07-01,1983,not conducive
Aug,262.2,10,6.3,1983-08-01,1983,conducive
Sep,170.8,18,3.8,1983-09-01,1983,not conducive
Oct,212.7,17,5.2,1983-10-01,1983,not conducive
Nov,228.8,18,3.2,1983-11-01,1983,not conducive
Dec,370.6,16,2.7,1983-12-01,1983,not conducive
Jan,251.2,18,4.1,1984-01-01,1984,not conducive
Feb,470.4,19,4.1,1984-02-01,1984,not conducive
Mar,361.3,19,5.3,1984-03-01,1984,not conducive
Apr,153.1,17,6.2,1984-04-01,1984,conducive
May,186.5,12,6.4,1984-05-01,1984,conducive
Jun,255.0,14,5.4,1984-06-01,1984,not conducive
Jul,127.2,12,5.7,1984-07-01,1984,not conducive
Aug,102.7,13,6.0,1984-08-01,1984,conducive
Sep,186.7,17,4.9,1984-09-01,1984,not conducive
Oct,187.5,11,5.3,1984-10-01,1984,not conducive
Nov,127.7,17,4.3,1984-11-01,1984,not conducive
Dec,277.4,22,3.3,1984-12-01,1984,not conducive
Jan,111.1,7,8.7,1985-01-01,1985,conducive
Feb,79.3,11,6.5,1985-02-01,1985,not conducive
Mar,88.0,13,5.6,1985-03-01,1985,not conducive
Apr,110.5,14,5.5,1985-04-01,1985,not conducive
May,70.1,12,5.7,1985-05-01,1985,not conducive
Jun,37.0,14,5.8,1985-06-01,1985,not conducive
Jul,131.8,17,5.3,1985-07-01,1985,not conducive
